name,lng,lat,category,address,poi_type,rating,avg_cost,source,comment_num,popularity,season_winter,season_summer,sort_score,activity_type,amap_uid,coord_source,match_status,drift_m,needs_review,coord_fixed_on
玉泉霜雪滑雪场,127.139248,45.418119,景点,哈尔滨市阿城区西山屯高速公路玉泉出口左拐3公里,运动健身;体育场馆,4.9,462.0,baidu,56.0,56.0,1.0,0.3,0.9469665394431825,0,B01C317FFG,amap,contains,31.9,False,2026-09-04
哈药集团美术馆,126.5590956,45.7408573,景点,黑龙江省哈尔滨市道里区群力大道7号,旅游景点;其他,4.9,,baidu,55.0,55.0,0.9,0.7,0.9448544735055143,0,,baidu_wgs2gcj,none,,False,2026-09-04
新美健身(涧桥西畔店),126.588278,45.693042,景点,哈尔滨大街675号涧桥西畔C区商服四楼,运动健身;健身中心,4.8,,baidu,250.0,250.0,0.9,0.7,0.943081930362704,0,B0G0AZUNEL,amap,exact,4.1,False,2026-09-04
哈尔滨枫叶小镇温泉度假村,126.467971,45.825901,景点,黑龙江省哈尔滨市松北区智谷三街5555号,旅游景点;其他,4.8,80.0,baidu,119.0,119.0,0.9,0.7,0.9426651368628094,0,B0FFIKLIKW,amap,contains,15.5,False,2026-09-04
南岗博物馆,126.640936,45.75273,景点,黑龙江省哈尔滨市南岗区联发街1号,旅游景点;博物馆,4.9,,baidu,54.0,54.0,0.9,0.7,0.9423302971409839,0,B0FFG7QZH2,amap,contains,6.3,False,2026-09-04
防洪纪念塔(轮渡站),126.618806,45.781919,景点,黑龙江省哈尔滨市道里区斯大林街,旅游景点,5.0,,baidu,49.0,49.0,0.9,0.7,0.9419767251270283,0,BV09266408,amap,exact,4.2,False,2026-09-04
儿童公园,126.653792,45.759049,景点,黑龙江省哈尔滨市南岗区果戈里大街295号,旅游景点;公园,4.8,,baidu,81.0,81.0,0.9,0.7,0.9411197227620764,0,B0FFHFFRF8,amap,contains,238.2,False,2026-09-04
荷花湖,126.316663,45.62796,景点,哈尔滨市道里区北大荒闫家岗国际温泉度假区内,旅游景点,5.0,,baidu,48.0,48.0,0.9,0.7,0.9410120120823284,0,B0FFIKQ1VZ,amap,exact,6.6,False,2026-09-04
新区冰上运动中心,126.506871,45.819705,景点,哈尔滨市松北区龙川路和左岸大街交汇处西南侧,运动健身;体育场馆,5.0,,baidu,47.0,47.0,1.0,0.3,0.9401175451331163,0,B0FFMBTFBU,amap,contains,15.0,False,2026-09-04
集酷梦想王国,126.5420466,45.8815480,景点,黑龙江省哈尔滨市呼兰区美术家大街666号世界欢乐城10栋东南侧,旅游景点;游乐园,4.9,,baidu,53.0,53.0,0.9,0.7,0.9393799611304938,0,,baidu_wgs2gcj,none,,False,2026-09-04
妈妈顶原始森林公园,128.9014859,46.2790221,景点,黑龙江省哈尔滨市通河县清河林业局妈妈顶原始森林景区,旅游景点;公园,4.8,,baidu,63.0,63.0,0.9,0.7,0.9386049125436111,0,,baidu_wgs2gcj,none,,False,2026-09-04
花田水乡露营地,126.837956,45.991589,景点,黑龙江省哈尔滨市呼兰区滨水大道、黑龙江花田水乡生态旅游资源开发有限公司,旅游景点;其他,5.0,,baidu,45.0,45.0,0.9,0.7,0.9385112510829607,0,B0FFJGOJ13,amap,exact,44.0,False,2026-09-04
松峰山风景区,127.4656160,45.3949900,景点,哈尔滨市阿城区松峰山镇,旅游景点;其他,4.8,,baidu,61.0,61.0,0.9,0.7,0.9378556208584072,0,,baidu_wgs2gcj,none,,False,2026-09-04
财神庙,129.555286,46.317741,景点,哈尔滨市依兰县夹信子路20号,旅游景点;文物古迹,5.0,,baidu,44.0,44.0,0.9,0.7,0.9376121010607161,0,B01C30IT1E,amap,exact,1.8,False,2026-09-04
黑龙江省美术馆,126.628524,45.770951,景点,哈尔滨市道里区地段街97号,旅游景点;其他,4.8,,baidu,60.0,60.0,0.9,0.7,0.9374013627742523,0,B01C303JI7,amap,exact,1.5,False,2026-09-04
木兰县香磨山风景区,127.930969,46.36809,景点,黑龙江省哈尔滨市木兰县东兴镇香磨山风景区,旅游景点;风景区,5.0,,baidu,43.0,43.0,0.9,0.7,0.9367597817687967,0,B01C3172CK,amap,exact,155.4,False,2026-09-04
闫家岗农场稻田画观光塔,126.333394,45.617877,景点,道里区北大荒闫家岗农场场部东南侧1.4公里,旅游景点;文物古迹,5.0,,baidu,43.0,43.0,0.9,0.7,0.9367597817687967,0,B0KRKLC1JG,amap,exact,400.5,False,2026-09-04
慈云寺,129.556969,46.330925,景点,黑龙江省哈尔滨市依兰县古迹路,旅游景点;文物古迹,5.0,,baidu,43.0,43.0,0.9,0.7,0.9367597817687967,0,B01C302AA6,amap,exact,26.1,False,2026-09-04
哈尔滨文化中心湿地公园,126.5883046,45.8130909,景点,哈尔滨市松北区哈尔滨大剧院对面,旅游景点;公园,4.9,,baidu,52.0,52.0,0.9,0.7,0.9362891329290279,0,,baidu_wgs2gcj,none,,False,2026-09-04
亚布力森林小火车(俄罗斯风情园),128.510046,44.768649,景点,哈尔滨市尚志市金牌大道亚布力滑雪旅游度假区,旅游景点,4.9,,baidu,52.0,52.0,1.0,0.3,0.9362891329290279,0,B0JAXM32Y0,amap,exact,27.1,False,2026-09-04
哈尔滨逐鲨体育(珠江路店),126.688559,45.735115,景点,顺水街26号,运动健身;体育场馆,5.0,,baidu,40.0,40.0,0.9,0.7,0.9341794085278761,0,B0K6NA6UXC,amap,contains,28.6,False,2026-09-04
俄罗斯河园,126.6509,45.755104,景点,哈尔滨市南岗区果戈里大街268号儿童公园斜对面,旅游景点;公园,4.8,,baidu,56.0,56.0,0.9,0.7,0.933233427775306,0,B01C30KAJA,amap,exact,25.0,False,2026-09-04
浴日台,126.602685,45.796389,景点,警备路3号太阳岛风景区内,旅游景点,5.0,,baidu,38.0,38.0,0.9,0.7,0.9321188563935654,0,B01C319GJH,amap,exact,5.1,False,2026-09-04
K重装健身工厂,126.648425,45.786895,景点,靖宇街272号（与南十道街街口）,运动健身;健身中心,4.8,,baidu,55.0,55.0,0.9,0.7,0.9311213618376378,0,B0IUP7QGZF,amap,exact,15.5,False,2026-09-04
禅熙·普拉提·维密·产后塑型馆(会展店),126.6994123,45.7504920,景点,长江路388号会展中心金融大厦会展银座A座715室,运动健身;其他,4.8,,baidu,55.0,55.0,0.9,0.7,0.9311213618376378,0,,baidu_wgs2gcj,contains,,True,2026-09-04
雪乡十里冰雪画廊,128.2255718,44.4444858,景点,延边朝鲜族自治州敦化市G333,旅游景点,4.8,,baidu,55.0,55.0,1.0,0.3,0.9311213618376378,0,,baidu_wgs2gcj,none,,False,2026-09-04
五常奥林匹克公园,127.170888,44.93627,景点,黑龙江省哈尔滨市五常市五常镇雅臣路,旅游景点;公园,5.0,,baidu,36.0,36.0,0.9,0.7,0.9297960521694336,0,B0FFL9HX3C,amap,contains,190.9,False,2026-09-04
