city,amap_uid,name,lng,lat,type,typecode,address,adname
大庆市,B01CB0NTZ8,连环湖温泉景区-激情广场,124.207131,46.776219,风景名胜;公园广场;城市广场,110105,环湖路与湖滨路交叉口西60米,杜尔伯特蒙古族自治县
大庆市,B0FFH2M31K,以马内利基督教堂,124.898946,46.645323,风景名胜;风景名胜;教堂,110206,西槐路与青海路交叉口西南420米,让胡路区
大庆市,B01CB0NP2S,黎明社区文体广场,125.129011,46.582588,风景名胜;公园广场;城市广场,110105,黎明街道建设路(黎明小区),龙凤区
大庆市,B0FFFA8CMW,基督教堂,124.885833,46.272114,风景名胜;风景名胜;教堂,110206,杏十一区三排与萨大中路交叉口西280米,红岗区
大庆市,B0MA95BSWA,张龙三湖鱼水族馆,124.897855,46.637716,风景名胜;公园广场;水族馆,110104,西宾路255号博奥时代五楼,让胡路区
大庆市,B0L6DL93IN,千岁万事屋,124.868169,46.625829,风景名胜;风景名胜相关;旅游景点,110000,阳光嘉城四期hs8-99,让胡路区
大庆市,B0KU67W2VD,石庆斗齿,125.002766,46.569503,风景名胜;风景名胜相关;旅游景点,110000,南一路与南一快速路辅路交叉口西南400米,萨尔图区
大庆市,B0G3ZLU9LC,荷池居艺校,125.128136,46.606898,科教文化服务;培训机构;培训机构|风景名胜;风景名胜相关;旅游景点,141400|110000,学伟大街293号,萨尔图区
大庆市,B0FFKQP291,健身公园,125.089289,45.531623,风景名胜;公园广场;公园,110101,健民路肇源县职业高中,肇源县
大庆市,B01CB0N7KJ,湖畔广场,125.149114,46.623027,风景名胜;公园广场;城市广场,110105,滨洲东街五湖新区湖畔广场,龙凤区
大庆市,B01CB01CR4,同福广场,124.811755,46.038053,风景名胜;公园广场;城市广场,110105,同发路与同泉街交叉口北100米,大同区
大庆市,B01CB00YD5,广播电视塔,125.088554,46.599216,风景名胜;风景名胜;风景名胜,110200,东风街道东风路甲一号(广电大厦后身),萨尔图区
大庆市,B0FFJ52CM3,嘎日迪景区,124.124858,46.763871,风景名胜;风景名胜相关;旅游景点,110000,连环湖镇南岗村,杜尔伯特蒙古族自治县
大庆市,B01CB0178P,黎明湖,125.13024,46.594817,风景名胜;公园广场;公园,110101,发展路,龙凤区
大庆市,B01CB00YD7,乘风湖生态园,124.881874,46.52114,风景名胜;风景名胜;风景名胜,110200,崇德路与银龙街交叉口北240米,让胡路区
大庆市,B01CB0NJNL,正法寺,124.876243,46.589611,风景名胜;风景名胜;寺庙道观,110205,远望大街盖家屯附近,让胡路区
大庆市,B01CB01BZR,雁园,124.447495,46.637804,风景名胜;风景名胜相关;旅游景点,110000,201省道西50米,杜尔伯特蒙古族自治县
大庆市,B0FFF367ZF,龙凤湿地公园,125.198632,46.510806,风景名胜;公园广场;公园,110101,,龙凤区
大庆市,B0FFFEJZ30,万宝广场,125.104727,46.575908,风景名胜;公园广场;城市广场,110105,万利街70号,萨尔图区
大庆市,B01CB018RW,七厂公园-葡萄花,124.67115,45.932095,风景名胜;风景名胜相关;旅游景点,110000,庆葡北街七厂公园内(东侧),大同区
大庆市,B01CB0139B,景园公园,124.890005,46.631776,风景名胜;公园广场;公园,110101,西柳路,让胡路区
大庆市,B01CB00YD8,胡吉吐莫草原,124.173551,46.455522,风景名胜;风景名胜;风景名胜,110200,胡吉吐莫镇东,杜尔伯特蒙古族自治县
大庆市,B0FFFA8CAR,广顺兴五十铃,125.009663,46.583997,汽车销售;汽车销售;汽车销售|风景名胜;风景名胜相关;旅游景点|生活服务;生活服务场所;生活服务场所,020000|110000|070000,萨环西路与萨大北路交叉口东北180米,萨尔图区
大庆市,B0FFFA8CME,松杉圃,124.806085,46.133907,风景名胜;公园广场;公园,110101,八一街1号,大同区
大庆市,B01CB00ACC,人民广场,125.076381,45.523415,风景名胜;公园广场;城市广场,110105,福州路,肇源县
大庆市,B01CB00AFA,南湖公园,124.720311,46.300051,风景名胜;公园广场;公园,110101,林源镇街道林源镇街道林源镇街道林源镇建源街35-3号,大同区
大庆市,B0MAJ14YUT,云鲤饰作,125.093633,46.595618,风景名胜;风景名胜相关;旅游景点,110000,金街30号,萨尔图区
大庆市,B0L2ZS3D7S,茶瀑布(大庆大同凯达广场店),124.822675,46.039375,风景名胜;风景名胜相关;旅游景点,110000,盛世凯达购物有限公司S-A01门商服,大同区
大庆市,B0L22AZATZ,艺术邨温泉(暂停开放),125.090629,46.797422,风景名胜;风景名胜相关;旅游景点,110000,拥军街道黑鱼湖旅游景区国际艺术邨园区内,萨尔图区
大庆市,B0FFFWAUO8,红宝石教堂,125.131339,46.619104,风景名胜;风景名胜;教堂,110206,五湖新区红宝石教堂(安宁路北),萨尔图区
大庆市,B0MALD66IQ,炭寻古巷老北京炭火锅(龙凤店),125.155608,46.546011,风景名胜;风景名胜;风景名胜,110200,凯业·学府金街二期三号楼3-12,龙凤区
大庆市,B0FFFA8CMM,慧圆寺,125.117,45.523685,风景名胜;风景名胜;寺庙道观,110205,,肇源县
大庆市,B0FFIATV51,标岗山,124.888304,46.60814,风景名胜;风景名胜相关;旅游景点,110000,中原路2号铁人王进喜纪念馆(东南角),让胡路区
大庆市,B0K3XH0QZ5,猪拉虎,124.883371,46.633572,风景名胜;风景名胜相关;旅游景点,110000,聚贤东街59号,让胡路区
大庆市,B01CB0NJNS,白金宝遗址,124.456495,45.488927,风景名胜;风景名胜相关;旅游景点,110000,民意乡白金宝遗址,肇源县
大庆市,B01CB0NWFK,希望广场,124.292897,45.679373,风景名胜;公园广场;城市广场,110105,创业街与工农路交叉口东100米,肇源县
大庆市,B0MRX9MTRG,阿木塔蒙古风情岛,124.043175,46.564175,风景名胜;风景名胜;风景名胜,110200,胡吉吐莫镇阿木塔旅游度假区,杜尔伯特蒙古族自治县
大庆市,B0MBPS11I6,喜搓搓温泉-济州岛,124.856958,46.628404,风景名胜;风景名胜相关;旅游景点,110000,阳光嘉城二期Ds1号,让胡路区
大庆市,B0MAMO85IA,时代广场,125.100851,46.581571,风景名胜;公园广场;城市广场,110105,时代广场东街13号,萨尔图区
大庆市,B0LKDUNBTN,极光露营地,125.183805,46.621172,风景名胜;风景名胜相关;旅游景点,110000,恒祥街101号,龙凤区
大庆市,B0L6SAS7TC,张素珍墓,124.883553,46.618592,风景名胜;风景名胜;风景名胜,110200,奉献路与远望环岛交叉口东北300米,让胡路区
大庆市,B0L1VXC8W5,龙凤湿地荷花池,125.192525,46.536545,风景名胜;风景名胜;风景名胜,110200,龙凤镇风景街龙凤湿地,龙凤区
大庆市,B0KDVAQ6JE,狐仙堂,124.66712,46.470127,风景名胜;风景名胜;风景名胜,110200,乘风街道兴林村南偏西800米,让胡路区
大庆市,B0K1SP4I6G,果午湖生态区,124.934038,46.609877,风景名胜;风景名胜;风景名胜,110200,西宾路576号,萨尔图区
大庆市,B0K1OALTUN,绿水青山展示区,124.935891,46.588322,风景名胜;风景名胜;风景名胜,110200,南一快速路与南一快速路出口交叉口西北460米,红岗区
大庆市,B0K1HDN034,大庆油田生态园,124.95128,46.61219,风景名胜;风景名胜;风景名胜,110200,西宾路578号,萨尔图区
大庆市,B0JU9M1OVL,兔窝窝兰德湖动物欢乐岛,125.12987,46.633306,风景名胜;公园广场;动物园,110102,兰德湖公园东侧,萨尔图区
大庆市,B0J1YALFN1,明湖商务休闲广场,124.87876,46.609236,风景名胜;公园广场;城市广场,110105,珠江路51号,让胡路区
大庆市,B0IR2723BK,玉皇辇,125.178722,45.571643,风景名胜;风景名胜;风景名胜,110200,007乡道,肇源县
大庆市,B0IGYZ972Y,万宝湖体育公园,125.10174,46.584528,风景名胜;公园广场;公园,110101,时代广场东侧,萨尔图区
大庆市,B0IG27AWPJ,百花园,125.154595,46.585564,风景名胜;公园广场;公园广场,110100,大庆歌剧院后身,龙凤区
大庆市,B0HGNYLNPC,龙凤湿地,125.179237,46.539305,风景名胜;风景名胜相关;旅游景点,110000,龙凤镇风景街,龙凤区
大庆市,B0H3UU7WXJ,青龙湖体育公园,125.134905,46.544768,风景名胜;公园广场;公园,110101,大庆东站东北方向的中轴线上,龙凤区
大庆市,B0H255MN6I,兰德湖公园,125.127446,46.634148,风景名胜;公园广场;公园,110101,萨政路,萨尔图区
大庆市,B0GUJBOE0P,新潮湖公园,124.901792,46.598811,风景名胜;公园广场;公园,110101,开拓街东40米,让胡路区
大庆市,B0FFL3H41G,大庆廉洁文化公园,125.121212,46.663831,风景名胜;公园广场;公园,110101,北二路,萨尔图区
大庆市,B0FFL3F4G0,寿山蒙古风情园,124.462036,46.707238,风景名胜;风景名胜相关;旅游景点,110000,胜利村小林科半岛,杜尔伯特蒙古族自治县
大庆市,B0FFL2PFRH,三永湖公园,125.124767,46.572857,风景名胜;公园广场;公园,110101,富民街与东风路交叉口西南180米,龙凤区
大庆市,B0FFL27ZHL,莲花湖景区,125.35349,45.484584,风景名胜;风景名胜相关;旅游景点,110000,,肇源县
大庆市,B0FFL1RK9Q,大庆油田植物园-动物园,124.861621,46.602736,风景名胜;公园广场;动物园,110102,世界石油文化公园内(南侧),让胡路区
大庆市,B0FFKWC73U,铁人第一口油井,124.942622,46.566523,风景名胜;风景名胜相关;旅游景点,110000,南二西联通2号路铁人王进喜同志纪念馆,红岗区
大庆市,B0FFKSQH5R,院中园,124.8636,46.649517,风景名胜;风景名胜;风景名胜,110200,科学路与学苑街交叉口东60米,让胡路区
大庆市,B0FFKF63EZ,赛车小镇,125.110515,46.666916,风景名胜;风景名胜;风景名胜,110200,机场路与北二路交汇处西700米,萨尔图区
大庆市,B0FFIB0M7B,鹤鸣湖风景区,124.539048,47.28229,风景名胜;风景名胜;风景名胜,110200,三合乡南岗村,林甸县
大庆市,B0FFH4W0FJ,七厂公园,124.661535,45.932611,风景名胜;公园广场;公园,110101,庆葡北街,大同区
大庆市,B0FFGP85W7,大庆油田国家矿山公园,124.922464,46.615979,风景名胜;公园广场;公园,110101,龙十路与西讯街交叉口南400米,萨尔图区
大庆市,B0FFFZQHKK,三永湖永康广场,125.124909,46.573158,风景名胜;公园广场;城市广场,110105,东风路98号附近,龙凤区
大庆市,B0FFFA8CHR,黎明湖-黎明河带状公园,125.129941,46.593071,风景名胜;公园广场;公园,110101,学伟大街黎明河带状公园附近,龙凤区
大庆市,B0FFF4BBSW,林甸温泉欢乐谷,124.857606,47.173649,风景名胜;风景名胜相关;旅游景点,110000,林甸镇县政府西侧,林甸县
大庆市,B01CB0NMLE,西苑,125.099253,46.591376,风景名胜;公园广场;公园,110101,人民西路与体育街交叉口西南20米,萨尔图区
大庆市,B01CB0NJGX,六厂广场,124.932896,46.73504,风景名胜;公园广场;城市广场,110105,北三西路北100米,让胡路区
大庆市,B01CB0N8GW,兰德公园,125.12441,46.620463,风景名胜;公园广场;公园,110101,东风街道新村五湖新区美兰街,萨尔图区
大庆市,B01CB0N5PT,松基三井,124.726662,46.130543,风景名胜;风景名胜相关;旅游景点,110000,,大同区
大庆市,B01CB019GZ,采油五厂生态园,124.890385,46.263646,风景名胜;公园广场;公园,110101,铁人生态工业园区,红岗区
大庆市,B01CB00YCU,油田广场,124.921375,46.615774,风景名胜;公园广场;城市广场,110105,新翔街附近,萨尔图区
大庆市,B01CB00FRL,城市森林公园,125.080419,46.603444,风景名胜;公园广场;公园,110101,中林街与中三路交叉口西南440米,萨尔图区
大庆市,B01CB00DFE,喇嘛甸公园,124.934026,46.729334,风景名胜;公园广场;公园,110101,让林路东,让胡路区
大庆市,B0FFG0JPW1,大庙风景名胜区,124.47383,45.4784,风景名胜;风景名胜;寺庙道观,110205,018县道东50米,肇源县
大庆市,B01CB00YDJ,极乐庵,125.280169,45.700785,风景名胜;风景名胜;寺庙道观,110205,南环东路150号,肇州县
大庆市,B0MU67V6F8,圣一堂,124.875012,46.553626,风景名胜;风景名胜;教堂,110206,乘风阳光新城4号公寓8号房,让胡路区
大庆市,B0MR1SDBGA,三元宫传统文化,125.110601,46.643035,风景名胜;风景名胜;风景名胜,110200,萨庆路内机场路65号,萨尔图区
大庆市,B0MGVDE4K5,藏榔阁,125.13896,46.625381,风景名胜;风景名胜相关;旅游景点,110000,学伟大街108号商服,龙凤区
大庆市,B0MBYZ56JO,仙花日志,124.872775,46.636275,购物服务;花鸟鱼虫市场;花卉市场|风景名胜;风景名胜相关;旅游景点,060501|110000,让胡路区阳光佳苑二期23号底层商服公寓楼商服13号,让胡路区
大庆市,B0MAUDSAMS,大庆市萨尔图区喷泉草花店,125.016237,46.597925,风景名胜;风景名胜相关;旅游景点,110000,会战大街金盛商厦裙房商服一层12号,萨尔图区
大庆市,B0M63U927V,唐时有方,125.15293,46.545959,风景名胜;风景名胜相关;旅游景点,110000,欣凤学城三期42号楼2单元102室,龙凤区
大庆市,B0LRSU4SWN,肆别堂,125.095931,46.593353,风景名胜;风景名胜相关;旅游景点,110000,经三街7号,萨尔图区
大庆市,B0LGVZJNQ3,灵应宫,125.205168,46.561197,风景名胜;风景名胜;风景名胜,110200,翔安大街10号净觉寺前200米,龙凤区
