name,epochs,best_val_loss,params,avg_distance_km,avg_satisfaction,avg_diversity,composite_score
Full Model,47,2.529260993003845,1417756,32.3,4.81,0.49,0.8747
-Engram,48,2.527751088142395,1152692,35.6,4.85,0.48,0.8735
-MHC,50,2.565630793571472,1406236,27.2,4.84,0.48,0.8753
-Engram-MHC,50,2.5468268394470215,1141172,34.5,4.84,0.48,0.8735
Baseline,39,2.592921018600464,1141172,63.0,4.84,0.49,0.8676
K=3,58,2.533768653869629,1417756,27.3,4.85,0.5,0.8802
K=10,36,2.567591071128845,1417756,38.2,4.83,0.49,0.8714
