name,lng,lat,category,address,poi_type,rating,avg_cost,source,comment_num
URBAN REVIVO(红博中央公园店),126.6904179,45.7546168,购物,黑龙江省哈尔滨市南岗区红旗大街339号红博中央公园B1,购物;商铺,4.1,,baidu,20.0
柒拾陈香鸡熟食店,126.6084085,45.7253778,餐饮,清滨路51-19号,美食;其他,3.5,54.0,baidu,4.0
迦南宾馆(工农大街店),126.5627139,45.722401,住宿,工农大街118-1号（黑龙江省五院附近）,酒店,4.0,,baidu,17.0
王师傅麻辣面(工农大街店),126.5534904,45.7170207,餐饮,工农大街651号1栋1层7号工农大街757号,美食;小吃快餐店,3.7,13.0,baidu,4.0
北北快捷宾馆(哈尔滨春申街店),126.6284391,45.7577567,住宿,黑龙江省哈尔滨市南岗区春申街8号,酒店,4.0,,baidu,29.0
西雅苏新疆炒米粉(宣庆街店),126.6696415,45.7555244,餐饮,哈尔滨市宣西小区3栋5号,美食;小吃快餐店,3.8,18.0,baidu,5.0
37°爱西点坊(阿城二中店),126.9696609,45.5332696,餐饮,牌路大街226号,美食;蛋糕甜品店,3.9,15.0,baidu,4.0
贝格米线(通达馨园小区店),126.5967192,45.7454808,餐饮,通达街302号,美食;小吃快餐店,3.4,,baidu,2.0
小馋猫烤肉拌饭(文化路店),127.1531268,44.9206542,餐饮,新曙光街电大住宅1-2层北5号,美食;小吃快餐店,3.8,19.0,baidu,1.0
千衣汇服饰批发城(顺达商厦店),126.626969,45.6045301,购物,新疆大街75号顺达商厦F4层,购物;市场,3.8,,baidu,5.0
徐照林排挡烤肉,126.672865,45.7956229,餐饮,黑龙江省哈尔滨市道外区新迎新街149号,美食;中餐厅,3.8,71.0,baidu,1.0
一号线运动馆,126.606058,45.6692931,景点,王岗镇学府路287号(橙色综合楼),运动健身;体育场馆,4.0,,baidu,24.0
于二小猪肉馆(龙江第一村店),126.5710962,45.8152923,餐饮,龙江第一村102-2,美食;中餐厅,4.1,53.0,baidu,31.0
美国加州牛肉面大王(同安路店),128.8279506,45.8374012,餐饮,同安路百事吉对面,美食;小吃快餐店,3.5,25.0,baidu,7.0
向洋拉面馆(清华翠园店),128.8305025,45.8445242,餐饮,城北新区清华翠园十号楼北数第三门1层(41号),美食;小吃快餐店,3.4,,baidu,1.0
苏小呆烧烤店(松海路店),126.6733151,45.6978021,餐饮,松海路50号,美食;中餐厅,4.3,56.0,baidu,51.0
米乐酸奶鲜果捞,127.1581631,44.9195381,餐饮,比优特金店对面,美食;其他,3.5,9.0,baidu,0.0
宾鹏饺子(松花江街店),126.6265779,45.7568667,餐饮,松花江街11号102商铺,美食;小吃快餐店,3.7,20.0,baidu,18.0
哈尔滨达人宿公寓(哈西大街分店),126.5893513,45.7018414,住宿,黑龙江省哈尔滨市南岗区哈西大街430号,酒店,4.6,,baidu,0.0
库迪咖啡(哈尔滨松北师大店),126.5571092,45.864392,餐饮,春秋东路哈尔滨师范大学松北校区家得乐超市内,美食;咖啡厅,3.9,9.0,baidu,10.0
宋家酥鱼(公滨小区店),126.7065193,45.7318406,餐饮,珠江路0436号,美食;中餐厅,3.8,20.0,baidu,9.0
新吉购物中心,126.6610806,45.7594986,购物,哈尔滨市南岗区宣化街288号,购物;购物中心,4.2,,baidu,28.0
